link,abstract
/doi/10.1287/mnsc.2017.2725," I examine the dynamics of oligopolies when firms derive subjective value from market leadership. In equilibrium, prices alternate in tandem between high levels and occasional price wars, which take place when market leadership is at stake. The stationary distribution of market shares is typically multimodal; that is, much of the time, there is a stable market leader. Even though shareholders do not value market leadership per se, a corporate culture that values market leadership may increase shareholder value. The online appendix is available at https://doi.org/10.1287/mnsc.2017.2725 . This paper was accepted by Bruno Cassiman, business strategy."
/doi/10.1287/mnsc.46.12.1513.12076," It is known that end users of products and services sometimes innovate, and that innovations developed by users sometimes become the basis for important newcommercial products and services. It has also been argued and to some extent shown that such innovations will be found concentrated in a “lead user” segment of the user community. However, neither the characteristics of innovating users nor the scope of the community that they “lead” has been explored in depth. In this paper, we explore the characteristics of innovation, innovators, and innovation sharing by library users of OPAC information search systems in Australia. This market has capable users, but it is nonetheless clearly a “follower” with respect to worldwide technological advance. Wefind that 26% of users in this local market nonetheless do modify their OPACs in both major and minor ways, and that OPAC manufacturers judge many of these user modifications to be of commercial interest. We find that we can distinguish modifying from nonmodifying users on the basis of a number of factors, including their “leading-edge status” and their in-house technical capabilities. We find that many innovating users freely share their innovations with others, and find that we can distinguish users that share information about their modifications from users that do not. We conclude by considering some implications of our findings for idea generation practices in marketing."
/doi/10.1287/mnsc.2017.2986," We study how information sharing within an organization affects individual performance. We look at situations in which the same analyst, while working at the same broker, covers multiple mergers and acquisitions (M&As), in particular the acquirer prior to the M&A and the merged firm thereafter. We find that earnings forecasts for the merged firm are significantly more accurate when the analyst has a colleague (working at the same broker) covering the target prior to the M&A. This holds particularly true if acquirer analysts and target analysts reside in the same locale, if they are part of a smaller team, and if the target analyst is of higher quality. Our findings highlight the importance of information spillovers on individual performance in knowledge-based industries. This paper was accepted by Amit Seru, finance."
/doi/10.1287/msom.2020.0946," Problem Definition : This study examines whether and how the relationship between technology licensing and productivity growth in the short run is affected by the challenges and constraints inherent in the contexts in which developing economy firms operate. We do so by investigating the moderating role of formal workforce training program in a firm and the corruption level and the infrastructural constraint level in the firm's external environment. Academic/Practical Relevance : Although the adoption of foreign technology by developing economy manufacturing firms is often driven by the goal to strengthen their capabilities in the long run, prior research provides a limited understanding of the performance consequences of technology licensing in the short run, which is an important business reality. Our study serves to address this important gap in research and practice. Methodology : The empirical analyses are conducted using matching and fixed-effects regression on a multi-industry dataset from the World Bank. We analyze detailed firm-level information from over 16,000 manufacturing firms across 25 developing economies in South Asia and East Asia. To strengthen causal inference, our analyses address selection bias and unobserved heterogeneity. Results : Our results indicate that the adoption of foreign technology by developing economy manufacturing firms has a substantial short-run disruptive effect on firm operations with productivity growth declining by 4.5 percentage points in these firms relative to comparable firms that do not use foreign technology licensing. We find that formal workforce training programs attenuate the negative relationship between technology licensing and productivity growth. However, infrastructural constraints in the external business environment amplify this negative relationship. Intriguingly, our results suggest that corruption in the firm's external environment acts as an “efficient grease,” attenuating the negative impact of technology licensing on productivity growth. Managerial Implications : Our results provide compelling evidence regarding the disruptive effects of technology licensing on productivity growth in the short run. Furthermore, these results offer insights for manufacturing firms and policymakers in developing economies on how to mitigate these negative effects."
/doi/10.1287/mnsc.2018.3190," Our dynamic model of information technology (IT) outsourcing integrates incomplete contracts, moral hazard, and adverse selection under both perfect and, more realistically, bounded rationality. In addition to the classical profit-maximizing firm unconstrained by ethics, we model an ethically constrained (but otherwise profit-maximizing) firm that honors its contractual obligations irrespective of legal restraints. We prove that under bounded rationality, the ethically constrained firm can obtain strictly greater profits than the unconstrained profit-maximizing firm, even when (i) the unconstrained firm has access to a superset of the ethical firm’s strategies and (ii) the ethical firm is unable to reveal its ethical commitment to its contracting partner anytime during the contractual relationship. Thus, a commitment to ethics, while of course being morally desirable, can lead to higher profits than the unbridled profit-maximization of classical economics. We also prove that ethics is foundational to both intellectual property (IP) sharing and reputation effects , two well-known facilitators of IT outsourcing. In fact, the mere possibility of ethical firms (a) forces across-the-board IP sharing even if it lowers profits and (b) induces even an ethically unconstrained firm to invest in developing a reputation for ethics. Our model provides a novel explanation, rooted in ethics, for why IT outsourcing is booming despite the formidable impediments of incomplete contracts, moral hazard, and adverse selection. This paper was accepted by Anandhi Bharadwaj, information systems."
/doi/10.1287/mnsc.49.11.1580.20580," We present a framework and empirical estimates that quantify the economic impact of increased product variety made available through electronic markets. While efficiency gains from increased competition significantly enhance consumer surplus, for instance, by leading to lower average selling prices, our present research shows that increased product variety made available through electronic markets can be a significantly larger source of consumer surplus gains. One reason for increased product variety on the Internet is the ability of online retailers to catalog, recommend, and provide a large number of products for sale. For example, the number of book titles available at Amazon.com is more than 23 times larger than the number of books on the shelves of a typical Barnes & Noble superstore, and 57 times greater than the number of books stocked in a typical large independent bookstore. Our analysis indicates that the increased product variety of online bookstores enhanced consumer welfare by $731 million to $1.03 billion in the year 2000, which is between 7 and 10 times as large as the consumer welfare gain from increased competition and lower prices in this market. There may also be large welfare gains in other SKU-intensive consumer goods such as music, movies, consumer electronics, and computer software and hardware."
/doi/10.1287/opre.2018.1792," Gleaning programs organize volunteer gleaners to harvest a variety of leftover crops that are donated by farmers for the purpose of feeding food-insecure individuals. Thus, the gleaning process simultaneously reduces food waste and food insecurity. However, the operationalization of this process is challenging because gleaning relies on two uncertain sources of input: the food and labor supplies. The purpose of this paper is to help gleaning organizations increase the (value-weighted) volume of fresh food gleaned by better managing the uncertainties in the gleaning operation. We develop a model to capture the uncertainties in food and labor supplies and seek a dynamic volunteer-staffing policy that maximizes the payoff associated with the amount of food gleaned. The exact analysis of the staffing problem seems intractable. Therefore, we resort to an approximation in the heavy traffic regime. In that regime, we characterize the system dynamics of the multicrop gleaning operation and derive the optimal staffing policy in closed form. The optimal policy is a nested threshold policy that specifies the staffing level for each class of donation (i.e., a donation of a particular crop type and donation size). The policy depends on the number of available gleaners and the backlog of gleaning donations. A numerical study using data calibrated from a gleaning organization in the Boston area shows that the dynamic staffing policy we propose can recover approximately 10% of the volume lost when the gleaning organization uses a static policy. To achieve this improvement, no capital or major process changes would be required—only some small changes to the staffing level requests. The online appendices are available at https://doi.org/10.1287/opre.2018.1792 ."
/doi/10.1287/msom.2016.0598," Competing technologies in emerging industries create uncertainties that discourage supplier investments. Open technology can induce supplier investments, but may also lead to intensified future competition. In this paper, we study competing manufacturers’ open-technology strategies. We show that despite the risk of intensifying future competition, open technologies by competing manufacturers may constitute an equilibrium and can indeed induce supplier investments. In addition, we identify a technology-risk-pooling benefit; namely, by opening technologies, competing manufacturers can induce supplier investments in both technologies and later adopt the one preferred by the market. However, manufacturers may also exhibit the prisoner’s dilemma and close their technologies despite the risk-pooling benefit. In this case, there is potential for collaborative technology sharing through cross licensing. Finally, we show that manufacturers may sometimes close their technologies to force supplier investments."
/doi/10.1287/deca.1120.0247," We study a problem where a new, unfamiliar group of agents has to decide how a joint reward should be shared among them. We focus on settings where the share that each agent receives depends on the evaluations of its peers concerning that agent's contribution to the group. We introduce a mechanism to elicit and aggregate evaluations as well as for determining agents' shares. The intuition behind the proposed mechanism is that each agent has its expected share maximized to the extent that it is well evaluated by its peers and that it is truthfully reporting its evaluations. For promoting truthfulness, the proposed mechanism uses a peer-prediction method built on strictly proper scoring rules. Under the assumption that agents are Bayesian decision makers, we show that our mechanism is incentive compatible and budget balanced. We also provide sufficient conditions under which the proposed mechanism is individually rational, resistant to some kinds of collusion, and fair."
/doi/10.1287/isre.2021.1058," This paper provides the first large-scale evidence of business-to-customer racial bias (B2C bias) on a digital platform, on which the perpetrators are individual employees who act on behalf of a company and the victims are customers. This is in contrast to existing studies of racial bias on digital platforms that focus on peer-to-peer marketplaces (e.g., eBay), in which both the perpetrators and the victims are individuals acting independently and on their own behalf. In particular, we present the first evidence of B2C bias in corporate social media customer service, a practice that has grown in popularity recently. Unlike traditional call centers, agents providing customer service on social media respond, on average, to fewer than half of the complaints they receive as per our analysis. We investigate the effect of a complaining customer’s racial identity, as revealed by the social media profile picture, on the chance of receiving a response. By analyzing more than 57,000 social media customer complaints to major U.S. airlines and leveraging a variety of analytics techniques, including text mining and facial recognition, we present quantitative evidence that African American customers are less likely to receive a response when they complain than otherwise similar White customers. Furthermore, our deep learning–based falsification test shows that the bias is absent without the visual cue that reveals racial identity. This study offers a practical yet powerful recommendation for companies: conceal all customer profile pictures from their employees while delivering social media customer service."
