link,abstract
/doi/10.1287/isre.2019.0855," Capacity is the maximum short-run output with capital in place under normal operations, and capital investment increases capacity. Excess capacity can be used as an economic strategy for entry deterrence by lowering average costs over a greater range of output, and as an operations strategy by providing value through flexibility to manage demand fluctuations and production disturbances. Our primary focus is to study the way that information technology (IT) can contribute to a strategy of holding excess capacity by comparing the relationship between IT capital and capacity with that of non-IT capital and capacity. Using production theory–based empirical analyses, we find that increases in IT capital yield almost fourfold greater expansion in capacity than do increases in non-IT capital. Thus, as both types of capital are constraints on capacity, for a strategy of holding excess capacity IT capital is a more valuable constraint to relax than non-IT capital. In addition, since the late 1990s, IT capital, and to a lesser extent, non-IT capital, has reduced capacity utilization (output/capacity), meaning increasing levels of excess capacity are being held across manufacturing industries and utilities across the economy."
/doi/10.1287/mnsc.2021.4153," Ignorance enables individuals to act immorally. This is well known in policy circles, in which there is keen interest in lowering moral ignorance. In this paper, we study how the demand for moral ignorance responds to monetary incentives and how the demand curve for ignorance reacts to social norm messages. We propose a simple behavioral model in which individuals suffer moral costs when behaving selfishly in the face of moral information. In several experiments, we find that moral ignorance decreases by more than 30 percentage points with small monetary incentives, but we find no significant change with social norm messages, and we document strong persistence of ignorance across moral contexts. Our findings indicate that rather simple messaging interventions may have limited effects on ignorance. In contrast, changes in incentives could be highly effective. This paper was accepted by Yan Chen, behavioral economics and decision analysis."
/doi/10.1287/mnsc.2015.2277," We study how a bank’s willingness to lend to a previously exclusive firm changes once the firm obtains a loan from another bank (“outside loan”) and breaks an exclusive relationship. Using a difference-in-difference analysis and a setting where outside loans are observable, we document that an outside loan triggers a decrease in the initial bank’s willingness to lend to the firm, i.e., outside loans are strategic substitutes. Consistent with concerns about coordination problems and higher indebtedness, we find that this reaction is more pronounced the larger the outside loan and it is muted if the initial bank’s existing and future loans retain seniority and are protected with valuable collateral. Our results give a benevolent role to transparency enabling banks to mitigate adverse effects from outside loans. The resulting substitute behavior may also act as a stabilizing force in credit markets limiting positive comovements between lenders, decreasing the possibility of credit freezes and financial crises. This paper was accepted by Itay Goldstein, finance ."
/doi/10.1287/mnsc.1120.1559," This paper examines the contribution to price discovery by electronic and voice-based trading systems in the U.S. Treasury market. Evidence shows that the electronic trading system has more price discovery and that trading automation increases the speed of incorporating information into prices. However, human trading generates significant price discovery, though its volume is low. The relative contribution of a trading system to price discovery depends on liquidity, volatility, volume, trade size, and order imbalance. The voice-based trading system contributes more to price discovery when trade size is large and liquidity is low. These findings provide important implications for the design of electronic markets for securities with different characteristics and trading environments. This paper was accepted by Wei Xiong, finance."
/doi/10.1287/opre.1050.0211," We consider three models of investments in generation capacity in restructured electricity systems that differ with respect to their underlying economic assumptions. The first model assumes a perfect, competitive equilibrium. It is very similar to the traditional capacity expansion models even if its economic interpretation is different. The second model (open-loop Cournot game) extends the Cournot model to include investments in new generation capacities. This model can be interpreted as describing investments in an oligopolistic market where capacity is simultaneously built and sold in long-term contracts when there is no spot market. The third model (closed-loop Cournot game) separates the investment and sales decision with investment in the first stage and sales in the second stage—that is, a spot market. This two-stage game corresponds to investments in merchant plants where the first-stage equilibrium problem is solved subject to equilibrium constraints. We show that despite some important differences, the open- and closed-loop games share many properties. One of the important results is that the prices and quantities produced in the closed-loop game, when the solution exists, fall between the prices and quantities in the open-loop game and the competitive equilibrium."
/doi/10.1287/isre.2018.0822," Building on recent work suggesting that objects and boundaries coevolve in practice, this paper theorizes the mechanisms for such coevolution. We argue that users in organizations choose objects to use for crossboundary collaboration, because they believe that they will afford certain types of communication. Over time, use of the object changes collaboration, which alters the constitution of the boundary at which the object was originally used. When the object’s materiality makes it difficult to achieve collaboration goals, users change objects. New objects provide new affordances for communication, which help to transfer new knowledge across the boundary. As knowledge changes people’s work in practice, the boundary that separates them changes, often requiring the use of a new object with new affordances useful for communicating across the new boundary. We illustrate our emerging theoretical perspective that highlights the role of materiality and affordances in the coevolution of objects and boundaries through a longitudinal study of a global product development organization. We discuss how our findings can lead to novel theorizing about the coevolution of objects and boundaries, the role of affordances as the mechanism for this coevolution, and the use of objects in communicating knowledge across boundaries."
/doi/10.1287/mnsc.2015.2291," This paper reports the results from a controlled field experiment designed to investigate the causal effect of unannounced, public recognition on employee performance. We hired more than 300 employees to work on a three-hour data-entry task. In a random sample of work groups, workers unexpectedly received recognition after two hours of work. We find that recognition increases subsequent performance substantially, and particularly when recognition is exclusively provided to the best performers. Remarkably, workers who did not receive recognition are mainly responsible for this performance increase. Our results are consistent with workers having a preference for conformity and being reciprocal at the same time. Data, as supplemental material, are available at http://dx.doi.org/10.1287/mnsc.2015.2291 . This paper was accepted by John List, behavioral economics ."
/doi/10.1287/orsc.2019.1308," We examine how the introduction of a technology that automates research tasks influences the rate and type of researchers’ knowledge production. To do this, we leverage the unanticipated arrival of an automating motion-sensing research technology that occurred as a consequence of the introduction and subsequent hacking of the Microsoft Kinect system. To estimate whether this technology induces changes in the type of knowledge produced, we employ novel measures based on machine learning (topic modeling) techniques and traditional measures based on bibliometric indicators. Our analysis demonstrates that the shock associated with the introduction of Kinect increased the production of ideas and induced researchers to pursue ideas more diverse than and distant from their original trajectories. We find that this holds for both researchers who had published in motion-sensing research prior to the Kinect shock (within-area researchers) and those who did not (outside-area researchers), with the effects being stronger among outside-area researchers."
/doi/10.1287/mnsc.2015.2388," We characterize the consistency of a large class of nonexpected utility preferences (including mean-variance preferences and prospect theory preferences) with stochastic orders (for example, stochastic dominances of different degrees). Our characterization rests on a novel decision theoretic result that provides a behavioral interpretation of the set of all derivatives of the functional representing the decision maker’s preferences. As an illustration, we consider in some detail prospect theory and choice-acclimating preferences, two popular models of reference dependence under risk, and we show the incompatibility of loss aversion with prudence. This paper was accepted by James Smith, decision analysis ."
/doi/10.1287/isre.12.3.322.9710," In today's networked economy, ideas that challenge existing business models and paradigms are becoming more important. This study investigated how individual differences, groupware-based creativity techniques, and ideas from others influenced the type of ideas that individuals generated. While individual differences were important (in that some individuals were inherently more likely to generate ideas that followed the existing problem paradigm while others were more likely to generate paradigm-modifying ideas that attempted to change the problem paradigm), the exposure to paradigm-modifying ideas from others and the use of intuitive groupware-based creativity techniques rather than analytical groupware-based creativity techniques were found to increase the number of paradigm-modifying ideas produced."
